AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,RISP,MH,OPS,
0.217,56,223,203,28,44,12,2,3,69,21,0,1,15,0,4,71,4,0.34,0.283,0.25,11,0.623,
0.258,42,103,89,8,23,3,0,1,29,13,2,1,11,0,0,19,4,0.326,0.337,0.316,6,0.663,
0.364,5,11,11,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0.364,0.364,0,1,0.728,
0.4,4,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0.8,
0.217,26,73,69,5,15,1,2,0,20,6,0,0,4,1,0,18,1,0.29,0.26,0.231,4,0.55,
0.091,6,13,11,0,1,0,0,0,1,0,0,0,2,0,0,4,0,0.091,0.231,0,0,0.322,
0.288,47,88,73,8,21,5,0,2,32,10,0,0,14,0,1,20,0,0.438,0.409,0.304,3,0.847,
0.24,53,227,196,26,47,6,1,7,76,31,0,0,28,2,3,52,1,0.388,0.344,0.318,11,0.732,
0.2,6,17,15,0,3,1,0,0,4,0,1,0,0,0,1,8,0,0.267,0.25,0,1,0.517,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.167,7,6,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.167,0.167,0,0,0.334,
0.233,36,85,73,9,17,4,2,0,25,8,4,0,7,0,1,22,3,0.342,0.309,0.208,3,0.651,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.286,15,16,14,0,4,0,0,0,4,1,0,1,1,0,0,4,0,0.286,0.313,0,1,0.599,
0.225,41,126,111,9,25,8,0,1,36,10,1,1,10,0,3,32,1,0.324,0.304,0.179,6,0.628,
0.167,25,8,6,3,1,0,0,0,1,0,1,0,0,0,1,2,1,0.167,0.286,0,0,0.453,
0.26,56,232,204,27,53,13,0,6,84,23,0,3,20,0,5,60,6,0.412,0.336,0.224,13,0.748,
0.317,57,235,199,27,63,12,0,9,102,37,0,3,30,2,3,32,4,0.513,0.409,0.345,16,0.922,
0,7,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0.274,43,150,135,16,37,7,2,1,51,20,0,1,13,0,1,31,1,0.378,0.34,0.29,10,0.718,
0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,12,33,30,6,9,1,1,0,12,4,0,0,3,0,0,6,2,0.4,0.364,0.5,2,0.764,
0.266,25,69,64,4,17,3,0,1,23,8,0,1,3,0,1,18,0,0.359,0.304,0.313,4,0.663,
0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0,13,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0.26,58,249,208,37,54,5,0,3,68,17,2,2,32,1,5,21,4,0.327,0.368,0.214,15,0.695,
0.23,45,72,61,12,14,1,0,0,15,3,5,0,6,0,0,17,1,0.246,0.299,0.158,4,0.545,
0.25,21,60,56,6,14,2,1,1,21,5,1,0,2,0,1,10,2,0.375,0.288,0.125,2,0.663,
0.288,52,234,215,27,62,9,1,4,85,26,0,3,14,1,2,51,1,0.395,0.333,0.255,20,0.728,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.31,51,226,200,30,62,11,1,2,81,20,2,2,22,0,0,31,4,0.405,0.375,0.217,18,0.78,
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
0.429,32,11,7,5,3,1,0,0,4,0,0,0,4,0,0,1,0,0.571,0.636,0,1,1.207,
0.221,40,101,86,11,19,2,0,1,24,13,0,0,13,0,2,15,1,0.279,0.337,0.143,5,0.616,
,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,
